,Time(DAY),I1 - WBHP(PSIA),I2 - WBHP (PSIA),I3 - WBHP(PSIA),I4 - WBHP(PSIA),P1 - WOPR(BBL/DAY),P2 - WOPR(BBL/DAY),P3 - WOPR(BBL/DAY),P4 - WOPR(BBL/DAY),P1 - WWPR(BBL/DAY),P2 - WWPR(BBL/DAY),P3 - WWPR(BBL/DAY),P4 - WWPR(BBL/DAY),P1 - WWCT(%),P2 - WWCT(%),P3 - WWCT(%),P4 - WWCT(%)
0,100.0,705.2620993968862,874.1567290437616,866.421876738969,851.2904119175873,2089647.351510913,2000072.130332715,1590484.2391818583,1736821.9477367196,167288.43920246232,223200.88428212193,126902.31899977656,131890.36252622277,7.412193111155616,10.039292647142103,7.389269375331577,7.057820607371328
1,200.0,564.096020500912,710.892753336398,704.6697090888653,691.4504816647518,1570411.3774197989,1451631.4258948748,1213275.8845656,1323230.2058539253,161228.26441316595,262220.4072252828,122449.01334270557,123733.9016650957,9.31072842860675,15.300062826778712,9.167232978471546,8.551276498298984
2,300.0,572.2205455709835,720.7357445596132,714.4577433984223,700.8705704629914,1542754.1708275275,1352768.7872720188,1190076.8153785502,1308103.608822552,197793.28221655937,368209.6883267956,148365.6055772793,146847.2603404882,11.36385462347687,21.39536859684878,11.084944952008179,10.092936019548345
3,400.0,573.4559619979104,722.410565327387,716.1734723033727,702.7635404735958,1495179.6107947025,1242720.3816145572,1154943.4271966745,1277598.2603505217,237345.49815265462,486153.4272703782,172519.93357353433,170182.2161177722,13.699397308986786,28.119659443735255,12.996210567607408,11.754697544541665
4,500.0,576.7782760594374,726.9286231879443,720.7687375296892,707.3201403806779,1458380.4186633434,1146884.3642235806,1128946.1770453674,1255121.1744494243,281239.9665987579,621260.152651091,197614.30842429653,196412.74570833123,16.166743559767184,35.1362768553113,14.896743163153387,13.531392066055522
5,600.0,577.7042304406888,727.8627711145651,721.9887887762785,708.460578268627,1413088.830831726,1053959.804278447,1097824.5327574054,1226443.9395872897,328640.06416251307,763428.9292217008,222436.17296481333,222434.54515132404,18.8686118205325,42.00691437936872,16.847897691777067,15.352187743436094
6,700.0,576.5928738384101,726.48207215632,720.5605052555475,707.3581520668434,1365862.7658016107,961969.0675065162,1065627.9456360627,1192763.259019549,377380.7011330193,917433.9133979295,245789.41754467553,250127.76857810086,21.648192480916993,48.81517815601328,18.742272631539123,17.33518081365802
7,800.0,575.9234024675027,724.9415924123215,719.2412181720579,706.1039912255789,1320614.592804796,879756.8019042757,1032146.7930524145,1160275.1921039561,429067.23160500097,1078092.7439994686,272069.8185692062,279459.0375006499,24.522586085029143,55.065147689978424,20.86078463844464,19.410460052574958
8,900.0,575.3470930176368,724.2319412324715,718.6526040848763,705.4959444354776,1276842.9640106717,804306.1309907689,999664.4056469254,1130385.0897916313,484953.9543161141,1250094.0040423323,300487.0565898233,309299.4719116138,27.526098455018566,60.8495873186939,23.111696238288477,21.483836122107984
9,1000.0,574.8132143527968,723.5229454339991,717.9966761645939,704.8957057899788,1237526.3880974923,732199.4969776608,961171.421016573,1100527.773163843,541391.7619932458,1440568.5751887767,338552.7615906667,342513.5625558591,30.433764586955885,66.30107435960275,26.0480466641416,23.73553370077469
