,Time(DAY),I1 - WBHP(PSIA),I2 - WBHP (PSIA),I3 - WBHP(PSIA),I4 - WBHP(PSIA),P1 - WOPR(BBL/DAY),P2 - WOPR(BBL/DAY),P3 - WOPR(BBL/DAY),P4 - WOPR(BBL/DAY),P1 - WWPR(BBL/DAY),P2 - WWPR(BBL/DAY),P3 - WWPR(BBL/DAY),P4 - WWPR(BBL/DAY),P1 - WWCT(%),P2 - WWCT(%),P3 - WWCT(%),P4 - WWCT(%)
0,100.0,705.3258382025602,876.0960844902402,868.940570466457,853.7728656998888,2087443.6096084241,2001327.5934169488,1593748.3209610824,1737562.4327551657,168145.21129806785,221638.1925998606,125390.28764625489,131216.7166894295,7.454603859514274,9.97038254003,7.293785795889531,7.021520800273663
1,200.0,563.946126242921,711.8823491980489,705.401972252033,692.1959171055468,1570925.6299017705,1451957.8488625847,1212266.1265195312,1325356.7575154058,161418.07731337397,262287.08775516914,123264.13855983829,123022.61808651888,9.317901328764835,15.300444070301166,9.229602786464207,8.493811784318767
2,300.0,572.3737225372867,721.2807692195571,715.0892746580271,701.9539048933474,1543955.4505740555,1351102.5674250443,1190411.5658696082,1309596.0676402086,197418.76779933335,369618.19447519607,148218.08615234777,146660.80620645927,11.336952489381718,21.480428588948755,11.072374344051712,10.071080785291556
3,400.0,573.3373997381461,722.5097672683163,716.4368850530071,703.1750311683833,1493812.8658051842,1240034.4396462408,1154765.7611768877,1277361.0817854628,236956.17073096024,488174.1700719789,171958.40307754034,169926.49194690774,13.690802511997202,28.24740990912981,12.961126940367057,11.741031639530279
4,500.0,576.996050248249,726.840368682245,720.9121861301304,707.2889471862765,1455771.5341008762,1144607.8294947979,1127797.5892766977,1253637.6204805344,280852.0838795958,620287.5895204478,196479.39452955118,195374.74686861353,16.17230590277242,35.14585526356843,14.83672954617306,13.483304302366722
5,600.0,578.4862777526192,728.1785764577104,722.3291512450063,708.7980001877182,1412397.9281228278,1049605.9256773933,1097675.023057405,1224639.1749908787,326534.95800639724,765955.4860050916,220697.24509645285,221775.62082357387,18.77789307517481,42.18835458147785,16.740131025776165,15.332781541320978
6,700.0,577.5476409407712,727.3218619405899,721.4697543960792,707.935880016467,1365623.3245697329,961271.5733575864,1063873.358281635,1191873.8450030296,375619.60248709377,916450.5523592663,245993.09398796622,249426.55166308023,21.57192409229153,48.80650548916526,18.780013303015345,17.30566037725598
7,800.0,576.1762142119869,726.0426093346615,720.3424338260271,706.9115943581656,1318244.1546109589,878840.5713276638,1033341.6828024801,1160576.3586937385,429690.532834383,1078374.255907401,270221.795873451,278079.85931562196,24.582756776935895,55.097388436955995,20.729469664793267,19.329138944701846
8,900.0,575.5284673961964,725.2847977779602,719.6111263161605,706.3547878282137,1278100.9655905263,804196.2022205554,1000254.8035201951,1130068.4216900275,484075.0622991966,1249336.2528964838,299896.7801216328,309782.8305734298,27.470301186590085,60.838398233412825,23.066293491840245,21.514918995031522
9,1000.0,575.4652889281998,725.2190353419152,719.5967429826072,706.4389891550876,1238525.472492662,732880.343875033,963591.6459369273,1100944.9840732308,541957.1199517003,1439691.1166851146,336411.19698872155,342517.0151789072,30.43877666940098,66.26668640459464,25.877727792627752,23.728855720231383
10,1100.0,575.0443354811656,725.0272487996317,719.5231321498445,706.6047895177338,1198737.8762620173,657868.1778371092,911610.5624309363,1074203.3456450729,605872.6262420214,1670243.2094805837,395372.93901971803,377401.4871865868,33.57359526619875,71.74240968792029,30.25079800784658,25.998913660984858
11,1200.0,575.7380985512559,725.9458766257577,720.3453594122766,707.6861171370309,1163109.83622447,574744.3452988066,842171.4282359076,1050329.3296457706,669426.8395031923,1975113.4506060437,492470.24939239305,411490.365007885,36.53006503880075,77.45974908005209,36.89906119727415,28.149187380142536
