,Time(DAY),I1 - WBHP(PSIA),I2 - WBHP (PSIA),I3 - WBHP(PSIA),I4 - WBHP(PSIA),P1 - WOPR(BBL/DAY),P2 - WOPR(BBL/DAY),P3 - WOPR(BBL/DAY),P4 - WOPR(BBL/DAY),P1 - WWPR(BBL/DAY),P2 - WWPR(BBL/DAY),P3 - WWPR(BBL/DAY),P4 - WWPR(BBL/DAY),P1 - WWCT(%),P2 - WWCT(%),P3 - WWCT(%),P4 - WWCT(%)
0,100.0,11548626.99101315,10316245.999784647,12147710.99101315,12144732.99101315,71436840419.83023,9883096903.527159,74783587650.31737,67334475595.1092,4393016882.2574215,605727407.4449708,4620047289.932907,4128459273.343592,5.793254845194702,5.774979058533115,5.8184329891312965,5.7770637057422265
1,200.0,7389480.992518617,6686933.999848352,7797655.992518617,7795227.492518617,46306416348.80396,6410741551.286133,48513787818.988785,43811644382.246254,2852545382.599773,393020949.25626796,3013735591.6784506,2688430112.9731326,5.802696562603579,5.776523640043815,5.848787972321888,5.781560873089626
2,300.0,7786905.992932804,7111043.499866087,8215346.992932804,8212861.992932804,49237014232.28888,6815632725.239556,51525146370.96367,46500242992.845024,3036611718.141461,417903537.36405224,3217917094.3356934,2855564042.9593425,5.809070373310237,5.777306177679046,5.878218884070076,5.7856698420265325
3,400.0,7826253.493138972,7171963.49987509,8251105.993138972,8248775.493138972,49648758901.07476,6871485604.347062,51896607198.89562,46802424174.60051,3064264771.711491,421356453.4244845,3256936079.943325,2875992753.8144317,5.81310757419794,5.777671449438153,5.905216394669844,5.7892198093966
4,500.0,7838381.993262498,7194295.999880596,8263430.993262498,8261220.493262498,49799894556.38031,6892409083.656231,52021173141.57784,46925338777.239586,3075055911.769737,422653052.25847,3279453807.1815724,2885186266.4892044,5.815714028180582,5.777846372396125,5.930228983154669,5.792322534155767
5,600.0,7833792.493345084,7196357.4998843465,8259480.993345084,8257354.993345084,49812493147.4239,6894351207.48553,52008014891.97358,46934934570.247536,3076797075.120264,422778468.69480264,3292250770.6869254,2887207986.530273,5.817429317303966,5.777927785960742,5.953408598016733,5.795029756578578
6,700.0,7828887.493404317,7196141.499887083,8255832.493404317,8253982.993404317,49810062364.22523,6894193553.488042,51981487129.482315,46936802648.91678,3077298742.7458186,422771847.76783985,3303199329.5289154,2888564967.650894,5.818590072062042,5.77796702025235,5.974890229282479,5.797378134527609
7,800.0,7824957.493448947,7195810.499889175,8253612.493448947,8252479.993448947,49807111787.32138,6893905932.577621,51955488615.51328,46942229069.90433,3077579480.804087,422755895.5375388,3313244865.768712,2889971798.3714933,5.819414668038346,5.777988725856484,5.994790647574396,5.799406303588143
8,900.0,7821886.993483819,7195639.999890832,8252581.993483819,8252548.993483819,49805413717.364174,6893743117.643567,51931795939.053444,46952249141.87889,3077817893.310262,422746964.8677987,3322561826.927536,2891505693.0105762,5.820026120886696,5.778002294820195,6.01321228092017,5.8011393856439355
9,1000.0,7819312.993511841,7195520.999892181,8252213.993511841,8253324.993511841,49804147438.18373,6893609459.571142,51909607108.98651,46964713363.04557,3078007101.391396,422739417.1870803,3331167445.6690655,2893055841.8279104,5.82050245151779,5.7780106485899365,6.03026925767159,5.802617902818485
