,Time(DAY),I1 - WBHP(PSIA),I2 - WBHP (PSIA),I3 - WBHP(PSIA),I4 - WBHP(PSIA),P1 - WOPR(BBL/DAY),P2 - WOPR(BBL/DAY),P3 - WOPR(BBL/DAY),P4 - WOPR(BBL/DAY),P1 - WWPR(BBL/DAY),P2 - WWPR(BBL/DAY),P3 - WWPR(BBL/DAY),P4 - WWPR(BBL/DAY),P1 - WWCT(%),P2 - WWCT(%),P3 - WWCT(%),P4 - WWCT(%)
0,100.0,199.6495819091797,152.93243408203125,206.53025817871094,208.6355438232422,345611.9375,88690.7734375,455397.84375,449188.15625,22593.80078125,5193.25439453125,38452.83984375,26523.759765625,6.136188983917236,5.5315632820129395,7.78632926940918,5.575592994689941
1,200.0,164.6904754638672,124.42992401123047,168.51031494140625,171.3907470703125,175062.859375,50680.28515625,267617.84375,285793.34375,13516.794921875,3083.6015625,31195.34375,17275.736328125,7.167684078216553,5.7354512214660645,10.439748764038086,5.700263500213623
2,300.0,166.10919189453125,126.74826049804688,171.44395446777344,174.2561798095703,187662.390625,53761.515625,267852.3125,299750.75,16259.4189453125,3373.67919921875,42068.98046875,18819.73046875,7.97335958480835,5.904730319976807,13.57408618927002,5.907556533813477
3,400.0,166.41290283203125,127.32792663574219,171.91091918945312,174.71371459960938,188124.9375,54327.328125,256649.09375,301386.5,17856.765625,3493.1865234375,52726.625,19540.841796875,8.669102668762207,6.041430950164795,17.042909622192383,6.088867664337158
4,500.0,166.14256286621094,127.45216369628906,171.6856231689453,174.53114318847656,187062.984375,54383.7421875,243351.40625,300674.1875,18791.189453125,3577.4208984375,63995.58984375,20266.931640625,9.128398895263672,6.172099590301514,20.82193374633789,6.314844131469727
5,600.0,165.8747100830078,127.55689239501953,171.4801483154297,174.3212432861328,185499.078125,54304.8046875,229853.71875,299876.9375,19901.478515625,3671.201416015625,76605.4375,20858.166015625,9.689105987548828,6.332276821136475,24.9969482421875,6.503237724304199
6,700.0,165.92715454101562,127.63397216796875,171.45838928222656,174.3002166748047,184128.1875,54276.71484375,216763.828125,298530.78125,20652.4609375,3737.835693359375,90047.59375,21458.48828125,10.085162162780762,6.442927360534668,29.349491119384766,6.706002235412598
7,800.0,165.5900115966797,127.69378662109375,171.1924591064453,174.0637969970703,183406.65625,54234.96875,203928.8125,297831.9375,21185.748046875,3777.268310546875,104454.1484375,21942.96484375,10.35509967803955,6.511157989501953,33.87156677246094,6.862003326416016
8,900.0,165.29043579101562,127.79713439941406,170.85243225097656,173.76185607910156,182673.6875,54269.546875,191508.828125,296663.8125,21825.419921875,3821.235595703125,120231.875,22617.62890625,10.672623634338379,6.5780415534973145,38.56791305541992,7.083915710449219
9,1000.0,165.3336181640625,127.86849212646484,170.86343383789062,173.76487731933594,182200.6875,54240.91015625,179283.59375,295330.03125,22053.1640625,3869.917236328125,137136.359375,23222.4375,10.796939849853516,6.6595458984375,43.33998489379883,7.2899885177612305
10,1100.0,165.15838623046875,127.91079711914062,170.6430206298828,173.5576934814453,181469.4375,54226.34765625,167889.28125,294462.875,22461.361328125,3916.6259765625,154722.921875,23763.7421875,11.01420783996582,6.7361979484558105,47.959415435791016,7.46755313873291
11,1200.0,165.01658630371094,127.9419937133789,170.54908752441406,173.4536590576172,181153.3125,54189.203125,156484.828125,293495.28125,22684.916015625,3955.959716796875,173582.46875,24397.556640625,11.128881454467773,6.803592205047607,52.59001922607422,7.674773693084717
12,1300.0,164.95919799804688,128.0174560546875,170.4633026123047,173.37646484375,180833.328125,54179.078125,145414.65625,292623.0,22913.5078125,3992.850341796875,194198.046875,24885.755859375,11.24606704711914,6.863877773284912,57.18220901489258,7.837817192077637
13,1400.0,165.091552734375,128.0287628173828,170.5426483154297,173.4190673828125,180292.828125,54219.5234375,135072.84375,291880.875,23066.552734375,4017.34619140625,215332.453125,25325.3125,11.342753410339355,6.89828634262085,61.452396392822266,7.983864784240723
14,1500.0,164.91233825683594,128.11172485351562,170.4811248779297,173.32315063476562,180099.109375,54187.515625,124813.8671875,291380.9375,23382.451171875,4055.472900390625,237824.5625,25790.80859375,11.491189002990723,6.963023662567139,65.58173370361328,8.131495475769043
15,1600.0,164.6772918701172,128.1014404296875,170.3956756591797,173.22850036621094,179877.328125,54214.25390625,114813.4453125,291368.6875,23501.626953125,4059.17724609375,261641.4375,26120.79296875,11.555584907531738,6.965743064880371,69.50140380859375,8.227293968200684
16,1700.0,164.66693115234375,128.1153106689453,170.4044952392578,173.16798400878906,179883.640625,54282.85546875,105723.2421875,290255.40625,23450.640625,4069.34716796875,285809.125,26870.291015625,11.533047676086426,6.97376823425293,72.99757385253906,8.47307300567627
17,1800.0,164.6200714111328,128.1165771484375,170.4642791748047,173.21969604492188,179783.1875,54224.30078125,96747.6171875,289697.34375,23591.76953125,4101.498046875,311251.0,27231.21484375,11.60013484954834,7.032047748565674,76.28726959228516,8.592225074768066
18,1900.0,164.64242553710938,128.12525939941406,170.55258178710938,173.2901611328125,179849.015625,54254.640625,88185.90625,288991.46875,23618.673828125,4107.0390625,338217.28125,27669.591796875,11.608071327209473,7.0372185707092285,79.31865692138672,8.737919807434082
19,2000.0,164.72804260253906,128.13351440429688,170.692138671875,173.35601806640625,179796.640625,54207.38671875,80051.9140625,288330.90625,23623.474609375,4125.6533203125,365990.75,28006.78125,11.61314582824707,7.07258415222168,82.0528564453125,8.85344409942627
