,Time(DAY),I1 - WBHP(PSIA),I2 - WBHP (PSIA),I3 - WBHP(PSIA),I4 - WBHP(PSIA),P1 - WOPR(BBL/DAY),P2 - WOPR(BBL/DAY),P3 - WOPR(BBL/DAY),P4 - WOPR(BBL/DAY),P1 - WWPR(BBL/DAY),P2 - WWPR(BBL/DAY),P3 - WWPR(BBL/DAY),P4 - WWPR(BBL/DAY),P1 - WWCT(%),P2 - WWCT(%),P3 - WWCT(%),P4 - WWCT(%)
0,100.0,1114524.9999393083,1098956.9166048046,1070857.6665974339,1080344.8332167056,9047139564.703283,8649755416.112885,6221376389.523148,7085698398.887505,560411850.4146086,538870781.947608,384782054.7328492,438330472.4823306,5.833035142885383,5.86454133982892,5.824596215481543,5.825741500677251
1,200.0,816795.0832794259,811335.2499461392,791376.2499407876,788619.4998946786,6583725187.976013,6362652407.083018,4575464121.390026,5193592689.114743,409928833.37599045,399782832.494247,288384549.338912,323144066.6348522,5.8614399872292156,5.911817538074321,5.929143130509696,5.857521954406622
2,300.0,825596.5832814397,822669.1666152199,802948.9166105125,799587.1665646449,6709027548.561462,6479862385.819073,4507247660.989509,5291172447.712415,419542947.7587881,410894362.5948961,371234101.9267147,331031147.7115116,5.885372782318069,5.962978778629369,7.609623648665667,5.88792529642554
3,400.0,823598.9166157657,821604.8332830886,802007.9166120471,799025.1665662555,6720442704.814563,6463636754.182556,3957960030.274908,5297821365.341815,421874848.6443536,424547951.7291557,820669354.5292044,333197506.67296237,5.906694087552101,6.163422873442867,17.173739339127376,5.917179719089529
4,500.0,823876.4999496924,822394.5832838126,802908.8332796432,800285.7499005456,6741933990.366424,6408002421.500846,3456348656.1891026,5312784910.603274,425155748.31396675,462986534.21988535,1577736543.842431,335837166.5927574,5.932055601584342,6.73828086762396,31.341077497706,5.945470629882651
5,600.0,824915.5832834216,823759.9166176314,804377.1666136025,802061.7499011805,6759984143.610715,6318048895.025276,3173192519.0925636,5329424422.311786,431045643.69160205,525019459.96565676,2250851692.193542,338556580.9754544,5.994213018735206,7.672281390887151,41.497664925187586,5.973142478408146
6,700.0,826402.4999503713,825480.1666179802,806164.0832807206,804125.8332349662,6753113474.876019,6213450703.138236,3008065483.8483615,5346803521.274894,449017318.28006953,605100550.8188986,2785367635.125131,341439430.57509935,6.234506581118378,8.87432723289613,48.07801484758756,6.002546541442163
7,800.0,828164.666617251,827412.2499515765,808134.9999477286,806354.9999019719,6671615002.363706,6105247974.658589,2901534196.0095506,5363416290.088384,508301620.03451663,699110282.736847,3220761295.756616,344965636.3332678,7.079491960238596,10.274448468038948,52.607086673424966,6.04314218599442
8,900.0,830106.4166174168,829466.1666184488,810231.5832813295,808692.416568902,6483675169.560788,5997664555.529794,2827461486.8180103,5376139610.1603155,658924053.1167108,804602127.3589319,3588553957.477406,350515197.18167543,9.225269857290192,11.828441383854136,55.93119263246238,6.120766991792298
9,1000.0,832157.6666175498,831575.3332852806,812414.583281545,811097.7499024463,6249762455.957211,5886432491.56496,2773229393.8648896,5380455051.737971,916981124.3033286,922211832.9853473,3908282912.225653,360312625.17917854,12.794948138356482,13.544720344108399,58.493986588381375,6.276384021390499
10,1100.0,834253.4999509921,833674.3332854165,814642.6666150555,813526.1665692854,6047998198.384225,5744276519.544476,2731903111.8162823,5373672982.550582,1227237026.1729524,1063376451.5845238,4192148954.3496203,376201661.9667328,16.86869205315146,15.620309320910794,60.544734705771276,6.542780238269244
11,1200.0,836333.3332844166,835709.4999521967,816864.3332818709,815925.6665694293,5896749783.867993,5495902801.787593,2699233745.890801,5356386413.087155,1531892064.4920683,1273081779.9288375,4448200317.079061,398935554.4013297,20.621428462461775,18.807573936089813,62.23492623912041,6.931594038611495
