,Time(DAY),I1 - WBHP(PSIA),I2 - WBHP (PSIA),I3 - WBHP(PSIA),I4 - WBHP(PSIA),P1 - WOPR(BBL/DAY),P2 - WOPR(BBL/DAY),P3 - WOPR(BBL/DAY),P4 - WOPR(BBL/DAY),P1 - WWPR(BBL/DAY),P2 - WWPR(BBL/DAY),P3 - WWPR(BBL/DAY),P4 - WWPR(BBL/DAY),P1 - WWCT(%),P2 - WWCT(%),P3 - WWCT(%),P4 - WWCT(%)
0,400.0,967667.5207423527,975929.6456343668,966960.5623119571,863490.6039311816,2885469479.490804,2824169654.9393005,2126449981.028765,2360727480.9766736,163906790.14994764,165771759.89119712,122064377.77149017,134278940.92869893,5.375092335497763,5.544314650078013,5.428667924389877,5.381907627562478
1,800.0,785419.9999186943,792370.6664911039,784203.770666923,696449.8852069549,2339253375.3366466,2293529182.1049047,1723965560.8887231,1911872247.9938543,134001389.9197333,136979129.80247143,100584038.84598307,109773761.2573198,5.4180180627628385,5.635822314673555,5.512814716607772,5.429920013443919
2,1200.0,805741.5207553548,813283.4164991787,804553.3748410417,714218.8227047375,2399248746.5641494,2322400539.543636,1725768076.5524323,1966249570.693117,140449072.10315183,154572977.81207368,124166213.31707972,113852146.07879096,5.530148944131159,6.24039686855788,6.711925607143483,5.473393207687802
3,1600.0,813134.1665904355,821043.0831701007,812352.3748449642,720790.4164555498,2412742678.45257,2130342363.7919846,1518890804.3955233,1988170542.2782269,147407148.36020708,295290493.42082936,303115193.17715603,115987869.50609308,5.757754753897336,12.173750555149326,16.636344423727113,5.512316413845274
4,2000.0,810726.1040915218,818639.812339421,809963.5415140744,718702.7497910266,2398656043.422738,1828521715.3826778,1341119566.1757433,1983339933.723643,151131437.59573463,628418116.4993883,571970727.8122025,116482964.45517267,5.927217021842446,25.577269265808887,29.897738209726466,5.547275656256477
