,Time(DAY),I1 - WBHP(PSIA),I2 - WBHP (PSIA),I3 - WBHP(PSIA),I4 - WBHP(PSIA),P1 - WOPR(BBL/DAY),P2 - WOPR(BBL/DAY),P3 - WOPR(BBL/DAY),P4 - WOPR(BBL/DAY),P1 - WWPR(BBL/DAY),P2 - WWPR(BBL/DAY),P3 - WWPR(BBL/DAY),P4 - WWPR(BBL/DAY),P1 - WWCT(%),P2 - WWCT(%),P3 - WWCT(%),P4 - WWCT(%)
0,400.0,985695.1873829192,996058.6248149878,979205.6664996444,862450.9057708634,2892285568.962349,2847825454.6969843,2130898619.3716767,2361704148.8996015,164358478.3742356,163805119.51198396,122489189.89343232,134425431.62159148,5.377089246536568,5.43908409334066,5.435779380264748,5.385354697552335
1,800.0,802178.5623902526,812192.5414977061,800487.0415113546,702191.1662668539,2367341264.1801586,2337003030.718986,1747337397.0775096,1933205254.5151832,135726733.74222058,136300393.43744278,102255280.57404836,111038063.46686868,5.422414966548165,5.510864219335759,5.52852970330109,5.431743985176797
2,1200.0,819607.9790593957,830047.6665032022,818326.5415153004,718426.1662780152,2426315942.987313,2352563542.7830863,1738711721.9533374,1981823734.1446342,140342298.55780423,156034777.88963476,126561319.90241258,114768837.03980859,5.467899710454587,6.2199984989143875,6.785136388209279,5.474064852522654
3,1600.0,823755.3123940127,834039.7706727502,822385.8331840088,721735.4266970278,2438075761.388039,2141234692.8959773,1521770352.1702044,1994836009.335386,143279499.3599769,297717492.32919574,303177980.610667,116380004.0422812,5.550553290307583,12.206778555673463,16.61296241459515,5.512463116272434
4,2000.0,819614.4998948034,829577.5831745405,817785.6040185975,717938.4371213117,2417405340.491738,1814945539.8317153,1333339599.8438218,1984510015.0258162,146751387.42846072,636066536.5803872,575230721.2303938,116557117.18792725,5.723183213823734,25.951179217015074,30.13935168533021,5.547519896002532
