,Time(DAY),I1 - WBHP(PSIA),I2 - WBHP (PSIA),I3 - WBHP(PSIA),I4 - WBHP(PSIA),P1 - WOPR(BBL/DAY),P2 - WOPR(BBL/DAY),P3 - WOPR(BBL/DAY),P4 - WOPR(BBL/DAY),P1 - WWPR(BBL/DAY),P2 - WWPR(BBL/DAY),P3 - WWPR(BBL/DAY),P4 - WWPR(BBL/DAY),P1 - WWCT(%),P2 - WWCT(%),P3 - WWCT(%),P4 - WWCT(%)
0,100.0,806.3783569335938,597.5601806640625,816.2263793945312,826.3850708007812,3146304.25,3393439.5,1691302.375,1668022.5,188399.1875,230883.21875,104080.1328125,96856.46875,5.649653434753418,6.370382785797119,5.797101020812988,5.48799467086792
1,200.0,642.60498046875,469.5226135253906,667.5748901367188,666.9111938476562,2397847.75,2571334.25,1305729.375,1309294.625,151915.375,197473.40625,83462.0546875,76499.8984375,5.958019733428955,7.132073402404785,6.007959365844727,5.520291805267334
2,300.0,645.2068481445312,474.4001159667969,668.0568237304688,668.4403686523438,2429802.0,2573157.25,1309320.75,1321502.75,151646.71875,212138.546875,88941.0,78054.3125,5.874481201171875,7.6163740158081055,6.360826015472412,5.577073097229004
3,400.0,642.7833862304688,474.5418395996094,664.3712158203125,665.3486938476562,2413251.75,2565705.75,1303544.0,1312259.0,158671.046875,215474.46875,91148.03125,81596.125,6.1693549156188965,7.747591495513916,6.5353522300720215,5.853989124298096
4,500.0,640.9962768554688,474.3630676269531,661.5514526367188,663.2186279296875,2425081.25,2559741.75,1300770.125,1310622.0,153990.09375,218576.21875,92291.453125,82370.53125,5.970757961273193,7.867214202880859,6.625080108642578,5.913207054138184
5,600.0,638.880615234375,474.2349853515625,659.0747680664062,661.2130737304688,2434721.5,2549546.5,1288332.75,1310228.875,150181.109375,223586.34375,97746.453125,82565.6015625,5.809933185577393,8.062590599060059,7.052010536193848,5.928053379058838
6,700.0,637.22802734375,473.99493408203125,657.2550659179688,659.4637451171875,2442131.0,2546471.0,1291676.125,1308729.375,146813.28125,224490.28125,95902.8046875,83088.2734375,5.670778274536133,8.101531028747559,6.911520481109619,5.969767093658447
7,800.0,636.5084228515625,473.8807373046875,656.3809814453125,658.8562622070312,2443824.75,2548953.75,1290372.875,1308374.5,146400.796875,223525.234375,96511.921875,83283.7890625,5.652048587799072,8.062287330627441,6.95889949798584,5.984499931335449
8,900.0,634.1729125976562,473.31671142578125,654.94091796875,657.0205078125,2446767.25,2545117.0,1283666.75,1304822.75,144787.421875,224365.6875,98833.0625,84488.7890625,5.5868940353393555,8.101356506347656,7.148866176605225,6.0813422203063965
9,1000.0,632.3265380859375,473.0438537597656,653.2936401367188,655.4241943359375,2421812.0,2545769.0,1281273.0,1294236.25,154897.421875,223520.296875,99642.9296875,88943.3828125,6.0114426612854,8.071395874023438,7.215713024139404,6.430356979370117
10,1100.0,631.529052734375,472.8417663574219,651.8157958984375,654.3740234375,2368852.75,2540051.5,1274754.25,1279490.625,177784.359375,225840.171875,102396.5625,95262.796875,6.981142520904541,8.165184020996094,7.435392379760742,6.929446220397949
11,1200.0,630.2471923828125,472.3891296386719,650.7603759765625,653.3366088867188,2267004.75,2543592.5,1281575.375,1254979.0,226865.8125,223016.90625,98503.3125,106061.9609375,9.096936225891113,8.061018943786621,7.137514114379883,7.792708873748779
12,1300.0,628.056884765625,471.4462890625,649.13232421875,651.86865234375,2123536.0,2538130.75,1280050.0,1205336.0,308284.0625,223905.578125,98007.421875,130501.7421875,12.677092552185059,8.106539726257324,7.111998558044434,9.769281387329102
13,1400.0,624.6243896484375,470.085693359375,646.6533203125,649.3408203125,1937495.25,2531883.25,1277195.5,1136718.75,436620.5625,223667.890625,97231.9765625,169079.0,18.390871047973633,8.116992950439453,7.074361801147461,12.94832992553711
14,1500.0,620.7659301757812,468.3006591796875,644.2933959960938,646.4019165039062,1754702.0,2518982.0,1266383.625,1049158.5,589856.625,224621.9375,99283.1015625,227170.0,25.158536911010742,8.187111854553223,7.2699360847473145,17.798709869384766
15,1600.0,617.8148193359375,466.59271240234375,642.2162475585938,644.3391723632812,1578533.625,2513201.5,1261453.125,957236.9375,769042.3125,222552.375,98694.0546875,300835.0625,32.758995056152344,8.134956359863281,7.256130695343018,23.91238784790039
16,1700.0,614.9165649414062,464.900146484375,639.2926025390625,641.5919799804688,1429040.125,2503673.25,1254857.375,857457.9375,946828.9375,221814.609375,98870.3203125,398480.40625,39.85190200805664,8.138528823852539,7.30355978012085,31.727705001831055
