,Time(DAY),I1 - WBHP(PSIA),I2 - WBHP (PSIA),I3 - WBHP(PSIA),I4 - WBHP(PSIA),P1 - WOPR(BBL/DAY),P2 - WOPR(BBL/DAY),P3 - WOPR(BBL/DAY),P4 - WOPR(BBL/DAY),P1 - WWPR(BBL/DAY),P2 - WWPR(BBL/DAY),P3 - WWPR(BBL/DAY),P4 - WWPR(BBL/DAY),P1 - WWCT(%),P2 - WWCT(%),P3 - WWCT(%),P4 - WWCT(%)
0,100.0,661.597238014214,790.2215487090638,792.0600629967602,770.4479298136292,2611878.332686472,2106197.5336481864,1595114.4815222311,2239614.9108458594,190680.84375054922,174231.22330696767,114019.74257654225,309056.7095482401,6.803811507486795,7.640283555255746,6.671198842599087,12.126187896283433
1,200.0,543.1210495503068,655.0836841345722,653.050287742178,638.0972225012807,2027523.141333881,1619897.50859674,1250736.0940612003,1605551.0358822818,178914.56878787675,177304.2879090336,106612.27089122763,407971.7119058517,8.108752309984936,9.865574820465856,7.854451638505061,20.261589413579312
2,300.0,548.1005011146382,661.0751926361827,657.9024293835715,644.3174479992831,2001805.2147423783,1573777.1626251722,1237339.7451090105,1455862.4183940773,210765.6601292391,220014.52981898352,123368.605158364,611761.0444447079,9.525826382464182,12.265333301839505,9.066498719885308,29.587642790857977
3,400.0,547.4173352530241,660.3308548386876,656.6145149080797,643.899504588585,1949893.0958379805,1511360.8303266338,1209343.2207086927,1305804.1142134068,242440.69661187203,262244.20313876914,138905.44634548767,841932.438428236,11.05856678608021,14.785941525344946,10.302657791532283,39.20091770066901
4,500.0,547.3966495411663,660.4722003815814,656.4343118994731,644.3777438299466,1901728.7433615767,1455281.323344969,1184297.4083029784,1176681.6730901352,276609.35271214,306534.8746855237,154967.89269411255,1099992.6616029714,12.698182766518503,17.398799887763225,11.571112353821011,48.31576676737339
5,600.0,548.011010297657,661.5027469013645,657.2349424985276,645.6757644983445,1858057.6631898165,1404686.6060773162,1161904.4064830998,1066793.5308121492,313378.4770045286,353113.7498942532,171757.6443561221,1381851.967514523,14.431853242365259,20.088387665565158,12.878648248860472,56.433320726043746
6,700.0,549.9208216574847,664.0593307044334,659.6310897770996,648.3692188941372,1821357.588701509,1359206.561720649,1143034.2791546406,975574.2118389811,353259.3436781382,403451.870125525,189764.17750163097,1685527.8192722464,16.24466996546249,22.888828762073736,14.238025003248566,63.339466114660816
7,800.0,550.6417882029687,665.0168407371663,660.5191598690653,649.4007069124111,1779681.2355369532,1305890.4287271907,1120525.1512734536,894974.0500095916,394261.1824890475,458904.7354247899,208512.73056259312,1999043.5927509933,18.135769338685957,26.0032860893124,15.688998290593176,69.07503130644767
8,900.0,550.1540241095696,664.5131227914666,660.0061034415186,648.9808914737708,1733710.288689484,1235671.8047347113,1093186.073336796,824366.3041805628,436042.7036350107,528109.2921657442,229248.59106066,2316901.080090439,20.09642135199318,29.94188412007625,17.33534345646581,73.75688843591152
9,1000.0,549.455594789834,663.8101860819979,659.315723100858,648.3823318158592,1688153.46264649,1144808.3917723328,1060255.8656338877,764838.4709516874,479242.59115901124,625794.2321685354,255328.29034449553,2639004.2913155644,22.111445220985797,35.34357306981121,19.407978515415543,77.53014682610547
