,Time(DAY),I1 - WBHP(PSIA),I2 - WBHP (PSIA),I3 - WBHP(PSIA),I4 - WBHP(PSIA),P1 - WOPR(BBL/DAY),P2 - WOPR(BBL/DAY),P3 - WOPR(BBL/DAY),P4 - WOPR(BBL/DAY),P1 - WWPR(BBL/DAY),P2 - WWPR(BBL/DAY),P3 - WWPR(BBL/DAY),P4 - WWPR(BBL/DAY),P1 - WWCT(%),P2 - WWCT(%),P3 - WWCT(%),P4 - WWCT(%)
0,100.0,199.97488403320312,152.943115234375,205.7899169921875,208.7427215576172,342820.8125,88715.2578125,455239.84375,449635.625,23284.58203125,5212.271484375,38446.390625,26345.740234375,6.3600754737854,5.549247741699219,7.787616729736328,5.535036087036133
1,200.0,163.3031768798828,123.24148559570312,168.36456298828125,171.02334594726562,167637.34375,49324.23828125,260855.828125,281796.21875,13035.0302734375,3003.42138671875,30463.083984375,17138.93359375,7.214733123779297,5.739643573760986,10.456954002380371,5.733328342437744
2,300.0,166.2988739013672,127.14593505859375,171.53077697753906,174.2020263671875,187015.140625,54137.953125,267711.34375,300813.78125,16202.880859375,3401.117431640625,41928.29296875,18965.513671875,7.973151683807373,5.910970211029053,13.540996551513672,5.930813789367676
3,400.0,166.37876892089844,127.74788665771484,171.7182159423828,174.39541625976562,188137.53125,54763.19921875,256563.203125,302708.6875,17770.08984375,3535.24560546875,52590.10546875,19756.4921875,8.630127906799316,6.064047813415527,17.01101303100586,6.126705646514893
4,500.0,166.1837921142578,127.8759994506836,171.5897979736328,174.27630615234375,187010.171875,54805.703125,243288.578125,302229.25,18925.326171875,3622.77490234375,64024.40234375,20392.419921875,9.189929008483887,6.2003583908081055,20.833616256713867,6.320847034454346
5,600.0,165.9921875,127.91358184814453,171.4450225830078,174.14047241210938,185733.859375,54748.34375,229912.96875,301303.75,19861.8125,3694.37353515625,76486.2421875,20991.1796875,9.66061782836914,6.321357727050781,24.962936401367188,6.513034343719482
6,700.0,165.8193359375,127.92010498046875,171.31260681152344,174.01402282714844,184582.0,54664.9609375,216753.640625,300234.6875,20628.171875,3755.55078125,90014.6328125,21570.91015625,10.052216529846191,6.42848014831543,29.34287452697754,6.70308780670166
7,800.0,165.65975952148438,127.91111755371094,171.1920928955078,173.89601135253906,183583.484375,54572.609375,203896.5,299099.5,21252.3125,3808.24072265625,104615.15625,22135.79296875,10.37529182434082,6.523098945617676,33.90962600708008,6.890834808349609
8,900.0,165.5132293701172,127.89749145507812,171.08544921875,173.78883361816406,182748.125,54482.62890625,191394.84375,297951.375,21759.80078125,3854.01806640625,120296.3984375,22688.87109375,10.640077590942383,6.606512546539307,38.594730377197266,7.076114654541016
9,1000.0,165.38125610351562,127.88713836669922,170.99560546875,173.69583129882812,182079.546875,54403.34765625,179282.546875,296830.34375,22173.6328125,3894.23876953125,137071.390625,23232.68359375,10.85595417022705,6.679931163787842,43.3284912109375,7.25878381729126
